Name,Corp
Reika Hyōka Frost,Nexus Enraenra (CEO)
Hana Mizuki,Nexus Enraenra (COO)
Liam Chen,Nexus Enraenra (CFO)
Sofia Alvarez,Nexus Enraenra (CHRO)
Ryo Tanaka,Nexus Enraenra (General Counsel)
Priya Sharma,Nexus Enraenra (CTO)
Elias Moreau,Nexus Enraenra (CMO)
Akira Miyara,Nexus Enraenra / Shadow Core (Public Relations)
Reika Hyōka Frost,Shadow Core (Sovereign Shadeweaver)
Kage Ishigawa,Shadow Core (Adjudicator)
Akira Miyara,Shadow Core (Head of Public Relations)
Ayana Miyara,Shadow Core (Strategic Operations)
Kazuo Hoshinaga,Shadow Core (Cybersecurity & Intelligence)
Kenji Hoshinaga,Shadow Core (Defense R&D)
Aaster Hoshitsuzuri,Shadow Core (Aethos Tactical Commander)
Kyra Constantine,CMM (Sovereign)
